IdSolicitante;TipoDemandante;Sexo;Escolaridade;Profissao;UF
1090282;Pessoa Fisica;Feminino;Pos-graduacao;Outra;RJ
1090288;Pessoa Fisica;Feminino;Pos-graduacao;Empregado - setor privado;SP
1090289;Pessoa Fisica;Feminino;Ensino Superior ;Estudante;DF
1090291;Pessoa Fisica;Masculino;Ensino Medio;Estudante;PE
1090292;Pessoa Fisica;Feminino;Ensino Superior ;Jornalista;RJ
1090296;Pessoa Fisica;Feminino;Ensino Medio;Outra;RS
1090297;Pessoa Fisica;Masculino;Pos-graduacao;Profis. Liberal/Autonomo;SP
1090302;Pessoa Fisica;Masculino;Ensino Superior ;Servidor publico estadual;MG
1090303;Pessoa Fisica;Masculino;Mestrado/Doutorado;Professor;DF
1090305;Pessoa Fisica;Feminino;Ensino Superior ;Outra;PE
1090306;Pessoa Fisica;Masculino;Ensino Medio;Servidor publico estadual;GO
1090312;Pessoa Fisica;Feminino;Mestrado/Doutorado;Servidor publico federal;MG
1090316;Pessoa Fisica;Masculino;Ensino Superior ;Servidor publico municipal;BA
1090320;Pessoa Fisica;Feminino;Ensino Superior ;Empregado - setor privado;DF
1090327;Pessoa Fisica;Masculino;Pos-graduacao;Servidor publico estadual;RJ
1090329;Pessoa Fisica;Masculino;Ensino Superior ;Servidor publico estadual;MA
1090331;Pessoa Fisica;Masculino;Ensino Medio;Empresario/empreendedor;RS
1090333;Pessoa Fisica;Masculino;Ensino Superior ;Estudante;SP
1090334;Pessoa Fisica;Feminino;Pos-graduacao;Servidor publico municipal;BA
1090336;Pessoa Fisica;Masculino;Ensino Superior ;Estudante;RS
1090337;Pessoa Fisica;Masculino;Ensino Superior ;Profis. Liberal/Autonomo;MT
1090344;Pessoa Fisica;Masculino;Ensino Fundamental;Profis. Liberal/Autonomo;SP
1090347;Pessoa Fisica;Masculino;Ensino Superior ;Empregado - setor privado;RJ
1090349;Pessoa Fisica;Masculino;Ensino Medio;Empregado - setor privado;SP
1090353;Pessoa Fisica;Feminino;Ensino Medio;Outra;RJ
1090359;Pessoa Fisica;Feminino;Ensino Superior ;Jornalista;RJ
1090361;Pessoa Fisica;Masculino;Mestrado/Doutorado;Servidor publico federal;MG
1090362;Pessoa Fisica;Masculino;Ensino Superior ;Empresario/empreendedor;DF
1090363;Pessoa Fisica;Feminino;Ensino Medio;Estudante;MS
1090373;Pessoa Fisica;Feminino;Pos-graduacao;Profis. Liberal/Autonomo;DF
1090381;Pessoa Fisica;Masculino;Ensino Superior ;Empregado - setor privado;DF
1090387;Pessoa Fisica;Masculino;Ensino Superior ;Servidor publico federal;RJ
1090390;Pessoa Fisica;Feminino;Ensino Medio;Estudante;PE
1090391;Pessoa Fisica;Feminino;Ensino Superior ;Estudante;MG
1090401;Pessoa Fisica;Masculino;Ensino Superior ;Profis. Liberal/Autonomo;RJ
1090405;Pessoa Fisica;Masculino;Ensino Medio;Empregado - setor privado;MG
1090406;Pessoa Fisica;Masculino;Ensino Superior ;Professor;SP
1090432;Pessoa Fisica;Feminino;Ensino Medio;Outra;SP
1090445;Pessoa Fisica;Masculino;Ensino Superior ;Servidor publico federal;RJ
1090446;Pessoa Fisica;Masculino;Ensino Medio;Estudante;MS
1090468;Pessoa Fisica;Feminino;Mestrado/Doutorado;Estudante;RS
1090469;Pessoa Fisica;Feminino;Ensino Superior ;Outra;SP
1090473;Pessoa Fisica;Masculino;Ensino Superior ;Servidor publico estadual;SP
1090475;Pessoa Fisica;Feminino;Ensino Medio;Outra;BA
1090478;Pessoa Fisica;Feminino;Ensino Superior ;Outra;PE
1090482;Pessoa Fisica;Masculino;Ensino Superior ;Outra;RJ
1090511;Pessoa Fisica;Masculino;Ensino Superior ;Profis. Liberal/Autonomo;SP
1090533;Pessoa Fisica;Masculino;Ensino Superior ;Empregado - setor privado;SP
1090534;Pessoa Fisica;Feminino;Mestrado/Doutorado;Profis. Liberal/Autonomo;MG
1090541;Pessoa Fisica;Masculino;Ensino Medio;Estudante;SP
1090542;Pessoa Fisica;Feminino;Sem instrução formal;Outra;SP
1090544;Pessoa Fisica;Feminino;Ensino Superior ;Estudante;SP
1090547;Pessoa Fisica;Masculino;Ensino Fundamental;Empresario/empreendedor;BA
1090557;Pessoa Fisica;Feminino;Ensino Superior ;Outra;PB
1090558;Pessoa Fisica;Feminino;Pos-graduacao;Servidor publico federal;SC
1090568;Pessoa Fisica;Feminino;Ensino Superior ;Profis. Liberal/Autonomo;BA
1090570;Pessoa Juridica;Nao se aplica;Nao se aplica;Nao se aplica;RS
1090578;Pessoa Fisica;Masculino;Ensino Superior ;Servidor publico federal;CE
1090579;Pessoa Juridica;Nao se aplica;Nao se aplica;Nao se aplica;MG
1090581;Pessoa Fisica;Masculino;Mestrado/Doutorado;Servidor publico federal;PR
1090583;Pessoa Fisica;Masculino;Mestrado/Doutorado;Pesquisador;SP
1090587;Pessoa Fisica;Masculino;Mestrado/Doutorado;Professor;MG
1090589;Pessoa Fisica;Masculino;Pos-graduacao;Servidor publico federal;GO
1090604;Pessoa Fisica;Masculino;Ensino Medio;Empresario/empreendedor;SP
1090606;Pessoa Fisica;Feminino;Ensino Superior ;Profis. Liberal/Autonomo;RS
