IdSolicitante,TipoDemandante,Sexo,Escolaridade,Profissao,UF
1036719,Pessoa Física,Masculino,Pós-graduação,Professor,PI
1036722,Pessoa Física,Masculino,Ensino Médio,Outra,RJ
1036739,Pessoa Física,Feminino,Pós-graduação,Estudante,PR
1036740,Pessoa Física,Masculino,Ensino Superior ,Servidor público municipal,MA
1036748,Pessoa Física,Masculino,Ensino Fundamental,Empregado - setor privado,DF
1036754,Pessoa Física,Feminino,Ensino Superior ,Empregado - setor privado,RJ
1036755,Pessoa Física,Feminino,Ensino Superior ,Empregado - setor privado,SP
1036761,Pessoa Física,Feminino,Ensino Médio,Empresário/empreendedor,ES
1036765,Pessoa Física,Masculino,Pós-graduação,Empresário/empreendedor,PR
1036774,Pessoa Física,Feminino,Ensino Médio,Profis. Liberal/autônomo,RJ
1036778,Pessoa Física,Masculino,Ensino Superior ,Profis. Liberal/autônomo,SP
1036782,Pessoa Física,Masculino,Ensino Superior ,Empregado - setor privado,PE
1036783,Pessoa Física,Feminino,Pós-graduação,Outra,SP
1036785,Pessoa Física,Feminino,Mestrado/Doutorado,Pesquisador,SP
1036789,Pessoa Física,Feminino,Ensino Médio,Estudante,PI
1036791,Pessoa Jurídica,Não se aplica,Não se aplica,Não se aplica,SP
1036795,Pessoa Física,Masculino,Ensino Superior ,Empregado - setor privado,SP
1036798,Pessoa Física,Masculino,Ensino Superior ,Empresário/empreendedor,ES
1036800,Pessoa Física,Feminino,Ensino Superior ,Empregado - setor privado,MA
1036801,Pessoa Física,Masculino,Ensino Médio,Outra,SP
1036802,Pessoa Física,Feminino,Ensino Médio,Outra,SP
1036806,Pessoa Física,Masculino,Ensino Médio,Outra,DF
1036810,Pessoa Física,Masculino,Ensino Superior ,Outra,PA
1036812,Pessoa Física,Masculino,Ensino Superior ,Servidor público municipal,AP
1036814,Pessoa Física,Masculino,Ensino Médio,Outra,BA
1036816,Pessoa Física,Masculino,Ensino Médio,Estudante,SP
1036818,Pessoa Física,Feminino,Ensino Fundamental,Estudante,MG
1036820,Pessoa Física,Masculino,Ensino Superior ,Empregado - setor privado,AC
1036826,Pessoa Física,Feminino,Mestrado/Doutorado,Outra,MG
1036828,Pessoa Física,Masculino,Mestrado/Doutorado,Professor,SP
1036833,Pessoa Física,Masculino,Ensino Superior ,Servidor público estadual,DF
1036841,Pessoa Física,Feminino,Ensino Médio,Estudante,PI
1036843,Pessoa Física,Masculino,Ensino Médio,Empregado - setor privado,PR
1036845,Pessoa Física,Feminino,Ensino Médio,Estudante,PI
1036854,Pessoa Física,Masculino,Pós-graduação,Professor,SC
1036855,Pessoa Física,Feminino,Ensino Médio,Empregado - setor privado,MG
1036860,Pessoa Física,Feminino,Ensino Superior ,Empregado - setor privado,SC
1036861,Pessoa Física,Masculino,Pós-graduação,Empregado - setor privado,SP
1036873,Pessoa Física,Masculino,Ensino Médio,Estudante,SP
1036876,Pessoa Física,Feminino,Ensino Médio,Empregado - setor privado,AM
1036878,Pessoa Física,Masculino,Ensino Médio,Outra,BA
1036886,Pessoa Física,Masculino,Ensino Médio,Empresário/empreendedor,RJ
1036894,Pessoa Física,Masculino,Ensino Médio,Estudante,BA
1036899,Pessoa Física,Feminino,Ensino Superior ,Estudante,MG
1036900,Pessoa Física,Masculino,Ensino Médio,Profis. Liberal/autônomo,RS
1036902,Pessoa Física,Masculino,Ensino Médio,Outra,MT
1036907,Pessoa Física,Masculino,Ensino Superior ,Estudante,BA
1036908,Pessoa Jurídica,Não se aplica,Não se aplica,Não se aplica,SP
1036918,Pessoa Física,Feminino,Pós-graduação,Pesquisador,MG
1036933,Pessoa Jurídica,Não se aplica,Não se aplica,Não se aplica,SP
1036935,Pessoa Física,Feminino,Ensino Superior ,Outra,AL
1036955,Pessoa Física,Masculino,Mestrado/Doutorado,Servidor público estadual,RJ
1036959,Pessoa Física,Masculino,Ensino Médio,Servidor público estadual,SP
1036978,Pessoa Física,Masculino,Ensino Médio,Profis. Liberal/autônomo,AP
1036985,Pessoa Física,Feminino,Ensino Médio,Estudante,SP
1036986,Pessoa Física,Feminino,Ensino Médio,Empregado - setor privado,DF
1036991,Pessoa Física,Feminino,Ensino Médio,Outra,PR
1036998,Pessoa Física,Masculino,Ensino Médio,Outra,AL
1037006,Pessoa Física,Feminino,Mestrado/Doutorado,Servidor público federal,RJ
1037020,Pessoa Física,Feminino,Ensino Médio,Empregado - setor privado,BA
1037048,Pessoa Física,Masculino,Ensino Médio,Outra,CE
1037056,Pessoa Física,Feminino,Ensino Médio,Estudante,PA
1037059,Pessoa Jurídica,Não se aplica,Não se aplica,Não se aplica,MT
1037061,Pessoa Física,Feminino,Ensino Superior ,Pesquisador,MA
1037062,Pessoa Física,Feminino,Ensino Médio,Outra,RS
1037075,Pessoa Física,Masculino,Ensino Superior ,Outra,SP
1037078,Pessoa Física,Feminino,Ensino Superior ,Outra,MG
1037079,Pessoa Física,Feminino,Ensino Médio,Profis. Liberal/autônomo,SP
1037091,Pessoa Física,Masculino,Pós-graduação,Professor,SP
1037099,Pessoa Física,Feminino,Ensino Médio,Estudante,AM
1037110,Pessoa Física,Feminino,Ensino Superior ,Servidor público municipal,RS
1037111,Pessoa Física,Masculino,Ensino Fundamental,Servidor público estadual,GO
1037116,Pessoa Física,Masculino,Ensino Superior ,Empregado - setor privado,ES
1037125,Pessoa Física,Masculino,Ensino Médio,Empregado - setor privado,SE
1037138,Pessoa Física,Feminino,Ensino Superior ,Empregado - setor privado,RS
1037143,Pessoa Física,Masculino,Pós-graduação,Outra,DF
1037144,Pessoa Física,Masculino,Pós-graduação,Outra,MG
1037153,Pessoa Física,Feminino,Ensino Médio,Estudante,RJ
1037154,Pessoa Física,Feminino,Ensino Superior ,Estudante,DF
1037155,Pessoa Física,Masculino,Ensino Superior ,Empregado - setor privado,MG
1037156,Pessoa Física,Masculino,Mestrado/Doutorado,Outra,SP
1037163,Pessoa Física,Masculino,Mestrado/Doutorado,Servidor público federal,DF
1037166,Pessoa Física,Feminino,Ensino Superior ,Outra,CE
1037180,Pessoa Física,Feminino,Ensino Médio,Empregado - setor privado,PR
1037183,Pessoa Jurídica,Não se aplica,Não se aplica,Não se aplica,RS
1037193,Pessoa Física,Feminino,Ensino Superior ,Professor,RJ
1037199,Pessoa Física,Feminino,Ensino Superior ,Outra,MT
1037204,Pessoa Física,Feminino,Ensino Superior ,Outra,SP
1037209,Pessoa Física,Feminino,Mestrado/Doutorado,Servidor público federal,RS
1037213,Pessoa Física,Masculino,Ensino Superior ,Empregado - setor privado,SP
1037218,Pessoa Física,Feminino,Ensino Superior ,Empresário/empreendedor,GO
1037220,Pessoa Física,Masculino,Pós-graduação,Servidor público municipal,SC
1037222,Pessoa Física,Feminino,Ensino Superior ,Estudante,ES
1037224,Pessoa Física,Feminino,Mestrado/Doutorado,Empregado - setor privado,SC
1037225,Pessoa Física,Masculino,Ensino Fundamental,Estudante,BA
1037229,Pessoa Jurídica,Não se aplica,Não se aplica,Não se aplica,AC
1037231,Pessoa Física,Feminino,Sem instrução formal,Outra,PE
1037237,Pessoa Física,Masculino,Ensino Médio,Estudante,AM
1037240,Pessoa Física,Feminino,Ensino Superior ,Professor,PB
1037249,Pessoa Física,Feminino,Ensino Médio,Outra,SP
1037252,Pessoa Física,Masculino,Ensino Médio,Outra,SP
1037258,Pessoa Física,Feminino,Ensino Superior ,Servidor público municipal,RO
1037259,Pessoa Física,Masculino,Ensino Superior ,Servidor público municipal,RS
1037261,Pessoa Física,Feminino,Ensino Superior ,Empregado - setor privado,SP
1037263,Pessoa Física,Masculino,Ensino Superior ,Servidor público municipal,RS
1037269,Pessoa Física,Masculino,Ensino Médio,Estudante,PB
